region,puntaje_promedio,n_colegios
1,61.984432432432432432432432,185
10,63.116118626430801248699272,961
11,61.119294117647058823529412,85
12,66.181547619047619047619048,84
13,66.916263778031166856708476,2631
14,61.217575757575757575757576,462
15,65.43147887323943661971831,142
16,64.408732057416267942583732,418
2,63.89995121951219512195122,205
3,64.257654320987654320987654,162
4,64.749013888888888888888889,720
5,65.583973094170403587443946,1115
6,66.593529411764705882352941,663
7,64.853406862745098039215686,816
8,66.460775193798449612403101,1032
9,60.929080982711555959963603,1099
